nama_kabupaten_kota,tahun,indeks_keparahan_kemiskinan,indeks_kedalaman_kemiskinan,persentase_penduduk_miskin,indeks_kesehatan,indeks_pembangunan_manusia,persentase_penduduk_mempunyai_keluhan_kesehatan,jumlah_ibu_hamil,jumlah_ibu_hamil_konseling_gizi,jumlah_ibu_hamil_dengan_akses_air_minum_aman,jumlah_ibu_hamil_dengan_akses_jamban_layak,jumlah_ibu_hamil_dengan_jaminan_kesehatan,jumlah_ibu_hamil_periksa_4_kali,jumlah_sasaran_konvergensi_ibu_hamil,jumlah_realisasi_konvergensi_ibu_hamil,jumlah_ibu_hamil_anemia,jumlah_ibu_hamil_mengalami_kek,jumlah_ibu_hamil_kek_dapat_kunjungan,kumulatif_kek,kumulatif_kunjungan_kek,jumlah_ibu_hamil_resti,jumlah_ibu_hamil_resti_kunjungan,kumulatif_resti,kumulatif_kunjungan_resti,jumlah_kejadian_kematian_ibu_saat_persalinan_x,persentase_persalinan_di_fasyankes,persentase_persalinan_ditolong_nakes,jumlah_kejadian_kematian_ibu_saat_persalinan_y,jumlah_desa_dengan_rumah_singgah,jumlah_desa_tanpa_rumah_singgah,jumlah_bayi_dapat_imunisasi_bcg,jumlah_bayi_dapat_imunisasi_dasar_lengkap,persentase_pemberian_asi_eksklusif,jumlah_bayi_bblr_2016_2021,jumlah_bayi_lahir_tanpa_bblr_2019,jumlah_bayi_bblr_2019,jumlah_kematian_bayi_bblr_2019,jumlah_bayi_lahir,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,kasus_diare_terlayani,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_kasus_difteri,jumlah_kasus_hepatitis_b,jumlah_kasus_pertusis,jumlah_kasus_suspek_campak,jumlah_kasus_tetanus_neonatarum,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_gizi_kurang,jumlah_balita_stunting,persentase_balita_stunting,jumlah_kejadian_kematian_balita
KABUPATEN BANDUNG BARAT,2013-01-01,,,,79.32,63.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KABUPATEN PANGANDARAN,2013-01-01,,,,76.61,64.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA BOGOR,2013-01-01,,,,80.87,72.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA SUKABUMI,2013-01-01,,,,79.61,70.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA BANDUNG,2013-01-01,,,,82.75,78.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA CIREBON,2013-01-01,,,,79.61,72.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA BEKASI,2013-01-01,,,,83.34,78.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA DEPOK,2013-01-01,,,,82.99,78.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA CIMAHI,2013-01-01,,,,82.4,75.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA TASIKMALAYA,2013-01-01,,,,78.36,68.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOTA BANJAR,2013-01-01,,,,77.23,68.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KABUPATEN BOGOR,2014-01-01,,,,77.67,67.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40314.0,0.0904,
KABUPATEN SUKABUMI,2014-01-01,,,,76.51,64.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332.0,0.1221,
KABUPATEN CIANJUR,2014-01-01,,,,75.51,62.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26687.0,0.1433,
KABUPATEN BANDUNG,2014-01-01,,,,81.5,69.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46412.0,0.1714,
KABUPATEN GARUT,2014-01-01,,,,77.67,62.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14609.0,0.0712,
KABUPATEN TASIKMALAYA,2014-01-01,,,,73.78,62.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28481.0,0.238,
KABUPATEN CIAMIS,2014-01-01,,,,77.45,67.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2929.0,0.0512,
KABUPATEN KUNINGAN,2014-01-01,,,,80.37,66.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6551.0,0.07519999999999999,
KABUPATEN CIREBON,2014-01-01,,,,78.89,65.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22805.0,0.1294,
KABUPATEN MAJALENGKA,2014-01-01,,,,74.86,64.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9396.0,0.1043,
KABUPATEN SUMEDANG,2014-01-01,,,,79.82,68.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
KABUPATEN INDRAMAYU,2014-01-01,,,,77.37,63.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
KABUPATEN SUBANG,2014-01-01,,,,78.79,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4152.0,0.0355,
KABUPATEN PURWAKARTA,2014-01-01,,,,76.87,67.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6091.0,0.08,
KABUPATEN KARAWANG,2014-01-01,,,,79.16,67.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23912.0,0.1379,
KABUPATEN BEKASI,2014-01-01,,,,81.79,70.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23473.0,0.102,
KABUPATEN BANDUNG BARAT,2014-01-01,,,,79.33,64.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20233.0,0.1636,
KABUPATEN PANGANDARAN,2014-01-01,,,,76.68,65.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055.0,0.07629999999999999,
KOTA BOGOR,2014-01-01,,,,80.89,73.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2601.0,0.1178,
KOTA SUKABUMI,2014-01-01,,,,79.63,71.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11761.0,0.0868,
KOTA BANDUNG,2014-01-01,,,,82.76,78.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2466.0,0.1134,
KOTA CIREBON,2014-01-01,,,,79.65,72.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22993.0,0.1363,
KOTA BEKASI,2014-01-01,,,,83.36,78.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10106.0,0.0843,
KOTA DEPOK,2014-01-01,,,,83.02,78.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6199.0,0.1747,
KOTA CIMAHI,2014-01-01,,,,82.41,76.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6859.0,0.1319,
KOTA TASIKMALAYA,2014-01-01,,,,78.41,69.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.0,0.0678,
KOTA BANJAR,2014-01-01,,,,77.29,68.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,0.0317,
KABUPATEN BOGOR,2015-01-01,,,,77.83,67.77,0.3592,,,,,,,,,7521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33721.0,0.0738,
KABUPATEN SUKABUMI,2015-01-01,,,,76.97,64.44,0.3072,,,,,,,,,3379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20488.0,0.0972,
KABUPATEN CIANJUR,2015-01-01,,,,75.82,62.42,0.2752,,,,,,,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26582.0,0.1494,
KABUPATEN BANDUNG,2015-01-01,,,,81.65,70.05,0.2361,,,,,,,,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16357.0,0.0834,
KABUPATEN GARUT,2015-01-01,,,,77.98,63.21,0.3423,,,,,,,,,2280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16624.0,0.0767,
KABUPATEN TASIKMALAYA,2015-01-01,,,,74.4,63.17,0.2762,,,,,,,,,3125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18697.0,0.1675,
KABUPATEN CIAMIS,2015-01-01,,,,78.06,68.02,0.2541,,,,,,,,,1724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236.0,0.0283,
KABUPATEN KUNINGAN,2015-01-01,,,,80.99,67.19,0.3367,,,,,,,,,3679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3976.0,0.0787,
KABUPATEN CIREBON,2015-01-01,,,,79.04,66.07,0.2659,,,,,,,,,5691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22667.0,0.12560000000000002,
KABUPATEN MAJALENGKA,2015-01-01,,,,75.47,64.75,0.3646,,,,,,,,,1494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5785.0,0.0633,
KABUPATEN SUMEDANG,2015-01-01,,,,79.86,69.29,0.3283,,,,,,,,,1453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2164.0,0.1527,
KABUPATEN INDRAMAYU,2015-01-01,,,,77.83,64.36,0.1934,,,,,,,,,6359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17049.0,0.2144,
KABUPATEN SUBANG,2015-01-01,,,,79.26,66.52,0.3136,,,,,,,,,2107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005.0,0.0256,
KABUPATEN PURWAKARTA,2015-01-01,,,,77.33,67.84,0.4629,,,,,,,,,3212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7820.0,0.1018,
KABUPATEN KARAWANG,2015-01-01,,,,79.31,67.66,0.2217,,,,,,,,,2703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24795.0,0.1409,
KABUPATEN BEKASI,2015-01-01,,,,81.82,71.19,0.2165,,,,,,,,,581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20699.0,0.08929999999999999,
KABUPATEN BANDUNG BARAT,2015-01-01,,,,79.64,65.23,0.1805,,,,,,,,,739.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14809.0,0.1156,
KABUPATEN PANGANDARAN,2015-01-01,,,,77.3,65.62,0.3482,,,,,,,,,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7030.0,0.0861,
KOTA BOGOR,2015-01-01,,,,81.35,73.65,0.2699,,,,,,,,,1872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975.0,0.1037,
KOTA SUKABUMI,2015-01-01,,,,79.79,71.84,0.2782,,,,,,,,,393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12142.0,0.08960000000000001,
KOTA BANDUNG,2015-01-01,,,,82.79,79.67,0.2974,,,,,,,,,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2778.0,0.1283,
KOTA CIREBON,2015-01-01,,,,79.68,73.34,0.2609,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18145.0,0.1164,
KOTA BEKASI,2015-01-01,,,,83.82,79.63,0.2104,,,,,,,,,549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8952.0,0.0739,
KOTA DEPOK,2015-01-01,,,,83.05,79.11,0.2656,,,,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6298.0,0.17350000000000002,
KOTA CIMAHI,2015-01-01,,,,82.44,76.42,0.2521,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7769.0,0.15810000000000002,
KOTA TASIKMALAYA,2015-01-01,,,,78.87,69.99,0.3019,,,,,,,,,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.0,0.0677,
KOTA BANJAR,2015-01-01,,,,77.32,69.31,0.2932,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194.0,0.0456,
KABUPATEN BOGOR,2016-01-01,,,,77.92,68.32,0.3028,126474.0,,,,,,,,6594.0,,,,,,,,,,,,,,,,,,1381.0,,,,124780.0,,,,,,,,,,,,,,,,,,,,32035.0,0.0687,
KABUPATEN SUKABUMI,2016-01-01,,,,77.14,65.13,0.2757,51056.0,,,,,,,,4871.0,,,,,,,,,,,,,,,,,,2202.0,,,,46656.0,,,,,,,,,,,,,,,,,,,,28376.0,0.1342,
KABUPATEN CIANJUR,2016-01-01,,,,75.98,62.92,0.2775,46284.0,,,,,,,,1261.0,,,,,,,,,,,,,,,,,,1458.0,,,,41472.0,,,,,,,,,,,,,,,,,,,,26666.0,0.1342,
KABUPATEN BANDUNG,2016-01-01,,,,81.69,70.69,0.25730000000000003,79912.0,,,,,,,,2296.0,,,,,,,,,,,,,,,,,,417.0,,,,62766.0,,,,,,,,,,,,,,,,,,,,20391.0,0.07519999999999999,
KABUPATEN GARUT,2016-01-01,,,,78.09,63.64,0.2914,62514.0,,,,,,,,3855.0,,,,,,,,,,,,,,,,,,1307.0,,,,56177.0,,,,,,,,,,,,,,,,,,,,15305.0,0.0681,
KABUPATEN TASIKMALAYA,2016-01-01,,,,74.68,63.57,0.2554,33470.0,,,,,,,,3253.0,,,,,,,,,,,,,,,,,,943.0,,,,30986.0,,,,,,,,,,,,,,,,,,,,17563.0,0.1575,
KABUPATEN CIAMIS,2016-01-01,,,,78.31,68.45,0.3034,20383.0,,,,,,,,3424.0,,,,,,,,,,,,,,,,,,877.0,,,,18430.0,,,,,,,,,,,,,,,,,,,,4092.0,0.104,
KABUPATEN KUNINGAN,2016-01-01,,,,81.17,67.51,0.2955,20156.0,,,,,,,,5611.0,,,,,,,,,,,,,,,,,,1141.0,,,,19893.0,,,,,,,,,,,,,,,,,,,,7205.0,0.0834,
KABUPATEN CIREBON,2016-01-01,,,,79.12,66.7,0.3506,53689.0,,,,,,,,5960.0,,,,,,,,,,,,,,,,,,1322.0,,,,47016.0,,,,,,,,,,,,,,,,,,,,24626.0,0.1342,
KABUPATEN MAJALENGKA,2016-01-01,,,,75.72,65.25,0.3368,21778.0,,,,,,,,1489.0,,,,,,,,,,,,,,,,,,997.0,,,,20863.0,,,,,,,,,,,,,,,,,,,,3257.0,0.0338,
KABUPATEN SUMEDANG,2016-01-01,,,,79.94,69.45,0.3078,20684.0,,,,,,,,2087.0,,,,,,,,,,,,,,,,,,757.0,,,,20055.0,,,,,,,,,,,,,,,,,,,,9688.0,0.1164,
KABUPATEN INDRAMAYU,2016-01-01,,,,78.03,64.78,0.2484,43102.0,,,,,,,,9036.0,,,,,,,,,,,,,,,,,,1322.0,,,,35484.0,,,,,,,,,,,,,,,,,,,,26430.0,0.2349,
KABUPATEN SUBANG,2016-01-01,,,,79.4,67.14,0.2686,35351.0,,,,,,,,2716.0,,,,,,,,,,,,,,,,,,788.0,,,,31088.0,,,,,,,,,,,,,,,,,,,,5757.0,0.0497,
KABUPATEN PURWAKARTA,2016-01-01,,,,77.45,68.56,0.3705,19976.0,,,,,,,,3152.0,,,,,,,,,,,,,,,,,,522.0,,,,19755.0,,,,,,,,,,,,,,,,,,,,7803.0,0.0994,
KABUPATEN KARAWANG,2016-01-01,,,,79.38,68.19,0.27390000000000003,46520.0,,,,,,,,4051.0,,,,,,,,,,,,,,,,,,1281.0,,,,48923.0,,,,,,,,,,,,,,,,,,,,23411.0,0.1382,
KABUPATEN BEKASI,2016-01-01,,,,81.91,71.83,0.2624,73617.0,,,,,,,,594.0,,,,,,,,,,,,,,,,,,531.0,,,,94579.0,,,,,,,,,,,,,,,,,,,,10843.0,0.054000000000000006,
KABUPATEN BANDUNG BARAT,2016-01-01,,,,79.72,65.81,0.2437,32807.0,,,,,,,,1759.0,,,,,,,,,,,,,,,,,,532.0,,,,29384.0,,,,,,,,,,,,,,,,,,,,10734.0,0.07919999999999999,
KABUPATEN PANGANDARAN,2016-01-01,,,,77.54,65.79,0.3322,6720.0,,,,,,,,470.0,,,,,,,,,,,,,,,,,,257.0,,,,6044.0,,,,,,,,,,,,,,,,,,,,1284.0,0.051100000000000007,
KOTA BOGOR,2016-01-01,,,,81.46,74.5,0.2597,21324.0,,,,,,,,1978.0,,,,,,,,,,,,,,,,,,54.0,,,,19875.0,,,,,,,,,,,,,,,,,,,,6794.0,0.0758,
KOTA SUKABUMI,2016-01-01,,,,79.85,72.33,0.3214,6535.0,,,,,,,,309.0,,,,,,,,,,,,,,,,,,230.0,,,,6145.0,,,,,,,,,,,,,,,,,,,,2457.0,0.1057,
KOTA BANDUNG,2016-01-01,,,,82.83,80.13,0.2699,46628.0,,,,,,,,744.0,,,,,,,,,,,,,,,,,,845.0,,,,42389.0,,,,,,,,,,,,,,,,,,,,9194.0,0.0643,
KOTA CIREBON,2016-01-01,,,,79.74,73.7,0.3311,5960.0,,,,,,,,565.0,,,,,,,,,,,,,,,,,,210.0,,,,5536.0,,,,,,,,,,,,,,,,,,,,2767.0,0.1243,
KOTA BEKASI,2016-01-01,,,,83.92,79.95,0.2448,55682.0,,,,,,,,992.0,,,,,,,,,,,,,,,,,,163.0,,,,44298.0,,,,,,,,,,,,,,,,,,,,16707.0,0.1106,
KOTA DEPOK,2016-01-01,,,,83.09,79.6,0.2939,46096.0,,,,,,,,1199.0,,,,,,,,,,,,,,,,,,411.0,,,,41817.0,,,,,,,,,,,,,,,,,,,,8850.0,0.0701,
KOTA CIMAHI,2016-01-01,,,,82.45,76.69,0.2564,11875.0,,,,,,,,145.0,,,,,,,,,,,,,,,,,,237.0,,,,10341.0,,,,,,,,,,,,,,,,,,,,5605.0,0.1418,
KOTA TASIKMALAYA,2016-01-01,,,,79.03,70.58,0.32659999999999995,13097.0,,,,,,,,1159.0,,,,,,,,,,,,,,,,,,390.0,,,,11813.0,,,,,,,,,,,,,,,,,,,,7145.0,0.1401,
KOTA BANJAR,2016-01-01,,,,77.43,70.09,0.3378,4307.0,,,,,,,,251.0,,,,,,,,,,,,,,,,,,112.0,,,,3247.0,,,,,,,,,,,,,,,,,,,,1154.0,0.0867,
KABUPATEN BOGOR,2017-01-01,,,,78.0,69.13,0.354,127203.0,,,,,,,,7043.0,,,,,,,,,,,,,,,114147.0,,,1557.0,,,,121415.0,,,,,,,,,,,,,,,,,,,,23797.0,0.0538,
KABUPATEN SUKABUMI,2017-01-01,,,,77.32,65.49,0.3229,50252.0,,,,,,,,3923.0,,,,,,,,,,,,,,,3118.0,,,167.0,,,,46239.0,,,,,,,,,,,,,,,,,,,,22776.0,0.1093,
KABUPATEN CIANJUR,2017-01-01,,,,76.14,63.7,0.355,46972.0,,,,,,,,2199.0,,,,,,,,,,,,,,,42726.0,,,1059.0,,,,42713.0,,,,,,,,,,,,,,,,,,,,27625.0,0.1392,
KABUPATEN BANDUNG,2017-01-01,,,,81.74,71.02,0.2717,79789.0,,,,,,,,895.0,,,,,,,,,,,,,,,68519.0,,,1207.0,,,,69205.0,,,,,,,,,,,,,,,,,,,,12272.0,0.0962,
KABUPATEN GARUT,2017-01-01,,,,78.22,64.52,0.32049999999999995,57424.0,,,,,,,,5621.0,,,,,,,,,,,,,,,51265.0,,,1256.0,,,,52965.0,,,,,,,,,,,,,,,,,,,,6619.0,0.1265,
KABUPATEN TASIKMALAYA,2017-01-01,,,,74.94,64.14,0.2716,32844.0,,,,,,,,4240.0,,,,,,,,,,,,,,,31073.0,,,1057.0,,,,30753.0,,,,,,,,,,,,,,,,,,,,17588.0,0.1526,
KABUPATEN CIAMIS,2017-01-01,,,,78.57,68.87,0.3079,19664.0,,,,,,,,3030.0,,,,,,,,,,,,,,,17493.0,,,920.0,,,,18492.0,,,,,,,,,,,,,,,,,,,,5831.0,0.0855,
KABUPATEN KUNINGAN,2017-01-01,,,,81.35,67.78,0.3308,19839.0,,,,,,,,4055.0,,,,,,,,,,,,,,,18948.0,,,1119.0,,,,19525.0,,,,,,,,,,,,,,,,,,,,5101.0,0.064,
KABUPATEN CIREBON,2017-01-01,,,,79.22,67.39,0.2626,40953.0,,,,,,,,6429.0,,,,,,,,,,,,,,,46882.0,,,1475.0,,,,47211.0,,,,,,,,,,,,,,,,,,,,20017.0,0.1112,
KABUPATEN MAJALENGKA,2017-01-01,,,,75.98,65.92,0.3292,21403.0,,,,,,,,1326.0,,,,,,,,,,,,,,,19991.0,,,882.0,,,,20224.0,,,,,,,,,,,,,,,,,,,,2295.0,0.0251,
KABUPATEN SUMEDANG,2017-01-01,,,,80.0,70.07,0.2533,20023.0,,,,,,,,1799.0,,,,,,,,,,,,,,,19412.0,,,690.0,,,,19819.0,,,,,,,,,,,,,,,,,,,,9222.0,0.1125,
KABUPATEN INDRAMAYU,2017-01-01,,,,78.25,65.58,0.2382,30418.0,,,,,,,,4876.0,,,,,,,,,,,,,,,35027.0,,,1505.0,,,,34362.0,,,,,,,,,,,,,,,,,,,,18227.0,0.2306,
KABUPATEN SUBANG,2017-01-01,,,,79.55,67.73,0.2788,27302.0,,,,,,,,3100.0,,,,,,,,,,,,,,,30603.0,,,659.0,,,,27865.0,,,,,,,,,,,,,,,,,,,,4275.0,0.0493,
KABUPATEN PURWAKARTA,2017-01-01,,,,77.57,69.28,0.3069,19831.0,,,,,,,,2509.0,,,,,,,,,,,,,,,0.0,,,516.0,,,,19534.0,,,,,,,,,,,,,,,,,,,,6858.0,0.0939,
KABUPATEN KARAWANG,2017-01-01,,,,79.45,69.17,0.2361,46060.0,,,,,,,,6658.0,,,,,,,,,,,,,,,49350.0,,,1250.0,,,,44903.0,,,,,,,,,,,,,,,,,,,,16865.0,0.1418,
KABUPATEN BEKASI,2017-01-01,,,,82.0,72.63,0.1849,80227.0,,,,,,,,518.0,,,,,,,,,,,,,,,75831.0,,,451.0,,,,74907.0,,,,,,,,,,,,,,,,,,,,3861.0,0.0425,
KABUPATEN BANDUNG BARAT,2017-01-01,,,,79.8,66.63,0.2435,34933.0,,,,,,,,1796.0,,,,,,,,,,,,,,,30208.0,,,575.0,,,,29904.0,,,,,,,,,,,,,,,,,,,,10487.0,0.08,
KABUPATEN PANGANDARAN,2017-01-01,,,,77.78,66.6,0.4984,6601.0,,,,,,,,1163.0,,,,,,,,,,,,,,,5864.0,,,24.0,,,,6191.0,,,,,,,,,,,,,,,,,,,,993.0,0.0379,
KOTA BOGOR,2017-01-01,,,,81.55,75.16,0.2568,21205.0,,,,,,,,1873.0,,,,,,,,,,,,,,,19522.0,,,370.0,,,,20502.0,,,,,,,,,,,,,,,,,,,,5538.0,0.0659,
KOTA SUKABUMI,2017-01-01,,,,79.92,73.03,0.2926,6461.0,,,,,,,,460.0,,,,,,,,,,,,,,,6073.0,,,231.0,,,,6010.0,,,,,,,,,,,,,,,,,,,,2161.0,0.0898,
KOTA BANDUNG,2017-01-01,,,,82.86,80.31,0.33340000000000003,45191.0,,,,,,,,575.0,,,,,,,,,,,,,,,42317.0,,,3147.0,,,,41850.0,,,,,,,,,,,,,,,,,,,,2506.0,0.0199,
KOTA CIREBON,2017-01-01,,,,79.78,74.0,0.3333,5897.0,,,,,,,,514.0,,,,,,,,,,,,,,,5234.0,,,168.0,,,,5395.0,,,,,,,,,,,,,,,,,,,,2953.0,0.1369,
KOTA BEKASI,2017-01-01,,,,84.05,80.3,0.2404,56143.0,,,,,,,,2115.0,,,,,,,,,,,,,,,49336.0,,,335.0,,,,47065.0,,,,,,,,,,,,,,,,,,,,18215.0,0.1143,
KOTA DEPOK,2017-01-01,,,,83.14,79.83,0.2725,46840.0,,,,,,,,1733.0,,,,,,,,,,,,,,,39958.0,,,475.0,,,,42665.0,,,,,,,,,,,,,,,,,,,,6835.0,0.0594,
KOTA CIMAHI,2017-01-01,,,,82.48,76.95,0.2518,11801.0,,,,,,,,195.0,,,,,,,,,,,,,,,10754.0,,,336.0,,,,10528.0,,,,,,,,,,,,,,,,,,,,3447.0,0.1454,
KOTA TASIKMALAYA,2017-01-01,,,,79.2,71.51,0.3107,12878.0,,,,,,,,1267.0,,,,,,,,,,,,,,,12149.0,,,343.0,,,,11991.0,,,,,,,,,,,,,,,,,,,,6572.0,0.13119999999999998,
KOTA BANJAR,2017-01-01,,,,77.52,70.79,0.30010000000000003,3304.0,,,,,,,,348.0,,,,,,,,,,,,,,,3111.0,,,132.0,,,,3138.0,,,,,,,,,,,,,,,,,,,,1036.0,0.0796,
KABUPATEN BOGOR,2018-01-01,0.26,1.12,0.07139999999999999,78.25,69.69,0.3428,127781.0,,,,,,,,3627.0,,,,,,,,,,,,,,,112959.0,,0.4552000000000001,1752.0,,,,117494.0,,,,,,,,,,,,,,,,,,,,7642.0,0.0108,
KABUPATEN SUKABUMI,2018-01-01,0.19,0.86,0.0676,77.68,66.05,0.2826,51182.0,,,,,,,,3923.0,,,,,,,,,,,,,,,22305.0,,0.7382,0.0,,,,350.0,,,,,,,,,,,,,,,,,,,,10691.0,0.0532,
KABUPATEN CIANJUR,2018-01-01,0.27,1.34,0.0981,76.46,64.62,0.3762,46972.0,,,,,,,,2407.0,,,,,,,,,,,,,,,17271.0,,0.4694,1059.0,,,,44306.0,,,,,,,,,,,,,,,,,,,,12476.0,0.06570000000000001,
