nama_kabupaten_kota,tahun,jumlah_anak_usia_0-23_bulan,jumlah_anak_0-23_terdaftar_jaminan_kesehatan,jumlah_anak_0-23_pertumbuhan_hijau,jumlah_anak_0-23_pertumbuhan_kuning,jumlah_anak_0-23_pertumbuhan_merah,jumlah_balita_stunting,persentase_balita_stunting,penemuan_kasus_pneumonia,kasus_pneumonia_berat,jumlah_kematian_kasus_pneumonia,jumlah_perkiraan_kasus_pneumonia,jumlah_balita_gizi_kurang_2019,jumlah_balita_kurus_2019,jumlah_balita_pendek_2019,jumlah_balita_gizi_kurang,kab/kota
KABUPATEN CIREBON,2019-01-01,56729.0,39316.0,52159.0,3455.0,1370.0,14127.0,0.0793,10776.0,42.0,1.0,10058.0,13743.0,6098.0,14127.0,13743.0,Cirebon
KABUPATEN MAJALENGKA,2019-01-01,27898.0,17743.0,25181.0,1116.0,805.0,4642.0,0.0527,4531.0,146.0,0.0,5567.0,4220.0,2133.0,3905.0,4220.0,Majalengka
KABUPATEN SUMEDANG,2019-01-01,16407.0,10361.0,14560.0,1267.0,861.0,6780.0,0.0877,3979.0,257.0,0.0,5324.0,4237.0,1676.0,6780.0,4237.0,Sumedang
KABUPATEN INDRAMAYU,2019-01-01,26848.0,17588.0,27491.0,503.0,638.0,19458.0,0.1539,6602.0,177.0,0.0,11102.0,13640.0,10369.0,20255.0,13640.0,Indramayu
KABUPATEN SUBANG,2019-01-01,262919.0,13051.0,24617.0,1352.0,1603.0,2476.0,0.022,4885.0,21.0,0.0,7037.0,3974.0,1892.0,2476.0,3974.0,Subang
KABUPATEN PURWAKARTA,2019-01-01,15610.0,9290.0,11156.0,554.0,969.0,3451.0,0.046,3653.0,23.0,1.0,4453.0,2622.0,669.0,2453.0,2622.0,Purwakarta
KABUPATEN KARAWANG,2019-01-01,26163.0,21156.0,20675.0,1897.0,857.0,4940.0,0.0417,5494.0,230.0,0.0,10100.0,4310.0,3354.0,3654.0,4310.0,Karawang
KABUPATEN BEKASI,2019-01-01,22016.0,19789.0,15039.0,351.0,206.0,7436.0,0.0342,2136.0,40.0,0.0,12201.0,7948.0,5153.0,7838.0,7948.0,Bekasi
KABUPATEN BANDUNG BARAT,2019-01-01,46299.0,20436.0,26916.0,952.0,740.0,9322.0,0.076,2497.0,27.0,3.0,7404.0,6130.0,1684.0,8151.0,6130.0,Bandung Barat
KABUPATEN PANGANDARAN,2019-01-01,5022.0,2363.0,4428.0,340.0,129.0,7863.0,0.2167,778.0,8.0,0.0,2041.0,773.0,39.0,853.0,773.0,Pangandaran
KOTA BOGOR,2019-01-01,,,,,,3757.0,0.0454,3618.0,30.0,0.0,5069.0,3859.0,2047.0,3192.0,3859.0,Kota Bogor
KOTA SUKABUMI,2019-01-01,,,,,,2069.0,0.0931,1374.0,22.0,0.0,1593.0,1333.0,634.0,1683.0,1333.0,Kota Sukabumi
KOTA BANDUNG,2019-01-01,,,,,,8121.0,0.0653,8098.0,487.0,3.0,11567.0,7959.0,3999.0,8121.0,7959.0,Kota Bandung
KOTA CIREBON,2019-01-01,,,,,,2411.0,0.1121,2037.0,11.0,1.0,1475.0,2229.0,2472.0,874.0,2229.0,Kota Cirebon
KOTA BEKASI,2019-01-01,,,,,,11737.0,0.1069,2801.0,56.0,0.0,13924.0,5797.0,4955.0,8010.0,5797.0,Kota Bekasi
KOTA DEPOK,2019-01-01,,,,,,5241.0,0.0455,1694.0,29.0,0.0,11120.0,5450.0,3021.0,5241.0,5450.0,Kota Depok
KOTA CIMAHI,2019-01-01,,,,,,3269.0,0.0906,1371.0,18.0,0.0,2718.0,2014.0,888.0,3269.0,2014.0,Kota Cimahi
KOTA TASIKMALAYA,2019-01-01,,,,,,5373.0,0.1095,1686.0,51.0,1.0,3047.0,3738.0,1679.0,5373.0,3738.0,Kota Tasikmalaya
KOTA BANJAR,2019-01-01,1380.0,717.0,1397.0,35.0,6.0,962.0,0.0761,569.0,4.0,1.0,935.0,968.0,523.0,962.0,968.0,Kota Banjar
KABUPATEN BOGOR,2020-01-01,108082.0,68871.0,95429.0,3045.0,733.0,34020.0,0.1147,,,,,,,,21322.0,Bogor
KABUPATEN SUKABUMI,2020-01-01,83988.0,35708.0,58807.0,3343.0,1198.0,14106.0,0.0689,,,,,,,,8838.0,Sukabumi
KABUPATEN CIANJUR,2020-01-01,56044.0,29807.0,46900.0,1557.0,366.0,11680.0,0.064,,,,,,,,9069.0,Cianjur
KABUPATEN BANDUNG,2020-01-01,75067.0,40941.0,67025.0,3294.0,1091.0,29581.0,0.1577,,,,,,,,13728.0,Bandung
KABUPATEN GARUT,2020-01-01,91067.0,37820.0,56872.0,2159.0,875.0,13523.0,0.0639,,,,,,,,9128.0,Garut
KABUPATEN TASIKMALAYA,2020-01-01,38378.0,18622.0,30926.0,2712.0,1002.0,18952.0,0.1897,,,,,,,,9275.0,Tasikmalaya
KABUPATEN CIAMIS,2020-01-01,24710.0,11697.0,20077.0,1478.0,498.0,7688.0,0.1124,,,,,,,,4810.0,Ciamis
KABUPATEN KUNINGAN,2020-01-01,30077.0,21383.0,28440.0,805.0,332.0,5298.0,0.0798,,,,,,,,4265.0,Kuningan
KABUPATEN CIREBON,2020-01-01,62610.0,44623.0,55693.0,3351.0,964.0,21733.0,0.1389,,,,,,,,15737.0,Cirebon
KABUPATEN MAJALENGKA,2020-01-01,31575.0,20186.0,31632.0,1330.0,552.0,4381.0,0.0529,,,,,,,,4549.0,Majalengka
KABUPATEN SUMEDANG,2020-01-01,21211.0,13444.0,19147.0,1074.0,560.0,8870.0,0.1191,,,,,,,,5784.0,Sumedang
KABUPATEN INDRAMAYU,2020-01-01,32354.0,22789.0,35912.0,696.0,181.0,11166.0,0.1023,,,,,,,,5218.0,Indramayu
KABUPATEN SUBANG,2020-01-01,46601.0,19777.0,31404.0,2284.0,1898.0,4283.0,0.0517,,,,,,,,2977.0,Subang
KABUPATEN PURWAKARTA,2020-01-01,21805.0,18067.0,17108.0,1013.0,272.0,8051.0,0.1269,,,,,,,,2648.0,Purwakarta
KABUPATEN KARAWANG,2020-01-01,40661.0,31527.0,34780.0,1039.0,330.0,3982.0,0.0254,,,,,,,,4647.0,Karawang
KABUPATEN BEKASI,2020-01-01,40549.0,35689.0,36350.0,11470.0,439.0,9373.0,0.0427,,,,,,,,6723.0,Bekasi
KABUPATEN BANDUNG BARAT,2020-01-01,40989.0,23742.0,35067.0,1061.0,195.0,15440.0,0.1357,,,,,,,,6130.0,Bandung Barat
KABUPATEN PANGANDARAN,2020-01-01,7346.0,3190.0,5725.0,311.0,126.0,1312.0,0.0587,,,,,,,,161.0,Pangandaran
KOTA BOGOR,2020-01-01,,,,,,5948.0,0.0765,,,,,,,,2915.0,Kota Bogor
KOTA SUKABUMI,2020-01-01,,,,,,1616.0,0.0732,,,,,,,,1333.0,Kota Sukabumi
KOTA BANDUNG,2020-01-01,,,,,,9508.0,0.0886,,,,,,,,7910.0,Kota Bandung
KOTA CIREBON,2020-01-01,,,,,,2360.0,0.1375,,,,,,,,2149.0,Kota Cirebon
KOTA BEKASI,2020-01-01,,,,,,13964.0,0.1035,,,,,,,,8228.0,Kota Bekasi
KOTA DEPOK,2020-01-01,,,,,,6425.0,0.0809,,,,,,,,5948.0,Kota Depok
KOTA CIMAHI,2020-01-01,,,,,,3708.0,0.1152,,,,,,,,2491.0,Kota Cimahi
KOTA TASIKMALAYA,2020-01-01,,,,,,7746.0,0.1757,,,,,,,,3738.0,Kota Tasikmalaya
KOTA BANJAR,2020-01-01,2755.0,1480.0,2609.0,68.0,51.0,1355.0,0.1381,,,,,,,,1086.0,Kota Banjar
KABUPATEN BOGOR,2021-01-01,128793.0,85812.0,114830.0,,806.0,30844.0,0.0959,,,,,,,,16821.0,Bogor
KABUPATEN SUKABUMI,2021-01-01,71774.0,38930.0,69340.0,,1293.0,14347.0,0.0733,,,,,,,,6099.0,Sukabumi
KABUPATEN CIANJUR,2021-01-01,63885.0,35429.0,55961.0,,1074.0,7768.0,0.0423,,,,,,,,5788.0,Cianjur
KABUPATEN BANDUNG,2021-01-01,93968.0,53798.0,81370.0,,1425.0,20461.0,0.0885,,,,,,,,8809.0,Bandung
KABUPATEN GARUT,2021-01-01,70474.0,37239.0,61374.0,,639.0,10027.0,0.0478,,,,,,,,313.0,Garut
KABUPATEN TASIKMALAYA,2021-01-01,44877.0,20804.0,34521.0,,1210.0,15183.0,0.1493,,,,,,,,4572.0,Tasikmalaya
KABUPATEN CIAMIS,2021-01-01,26422.0,14757.0,23089.0,,923.0,3303.0,0.0483,,,,,,,,2368.0,Ciamis
KABUPATEN KUNINGAN,2021-01-01,29992.0,20945.0,28637.0,,288.0,3665.0,0.0537,,,,,,,,2461.0,Kuningan
KABUPATEN CIREBON,2021-01-01,72750.0,53589.0,62897.0,,1296.0,15220.0,0.0936,,,,,,,,13385.0,Cirebon
KABUPATEN MAJALENGKA,2021-01-01,33622.0,21071.0,33143.0,,345.0,2934.0,0.0352,,,,,,,,3705.0,Majalengka
KABUPATEN SUMEDANG,2021-01-01,24823.0,15461.0,22947.0,,743.0,8117.0,0.1103,,,,,,,,2382.0,Sumedang
KABUPATEN INDRAMAYU,2021-01-01,37977.0,26697.0,36314.0,,235.0,5208.0,0.0483,,,,,,,,5586.0,Indramayu
KABUPATEN SUBANG,2021-01-01,49342.0,22870.0,33006.0,,817.0,2088.0,0.0245,,,,,,,,2736.0,Subang
KABUPATEN PURWAKARTA,2021-01-01,23457.0,21443.0,18987.0,,490.0,3709.0,0.0558,,,,,,,,922.0,Purwakarta
KABUPATEN KARAWANG,2021-01-01,42705.0,35437.0,38327.0,,286.0,3715.0,0.023,,,,,,,,2914.0,Karawang
KABUPATEN BEKASI,2021-01-01,45803.0,39475.0,39035.0,,629.0,8755.0,0.0392,,,,,,,,15485.0,Bekasi
KABUPATEN BANDUNG BARAT,2021-01-01,50043.0,33519.0,45953.0,,249.0,12488.0,0.1185,,,,,,,,5210.0,Bandung Barat
KABUPATEN PANGANDARAN,2021-01-01,9020.0,5629.0,7287.0,,145.0,999.0,0.042,,,,,,,,347.0,Pangandaran
KOTA BOGOR,2021-01-01,,,,,,3950.0,0.054,,,,,,,,2990.0,Kota Bogor
KOTA SUKABUMI,2021-01-01,,,,,,1180.0,0.059,,,,,,,,621.0,Kota Sukabumi
KOTA BANDUNG,2021-01-01,,,,,,6312.0,0.0783,,,,,,,,4996.0,Kota Bandung
KOTA CIREBON,2021-01-01,,,,,,2411.0,0.1339,,,,,,,,2394.0,Kota Cirebon
KOTA BEKASI,2021-01-01,,,,,,9820.0,0.0787,,,,,,,,5662.0,Kota Bekasi
KOTA DEPOK,2021-01-01,,,,,,3726.0,0.0351,,,,,,,,2397.0,Kota Depok
KOTA CIMAHI,2021-01-01,,,,,,3161.0,0.0994,,,,,,,,1221.0,Kota Cimahi
KOTA TASIKMALAYA,2021-01-01,,,,,,6194.0,0.1546,,,,,,,,3766.0,Kota Tasikmalaya
KOTA BANJAR ,2019-01-01,,,,,,,,,,,,,,,,Kota Banjar
KOTA BANJAR ,2020-01-01,,,,,,,,,,,,,,,,Kota Banjar
KOTA BANJAR,2021-01-01,3004.0,1378.0,2788.0,,83.0,929.0,0.0885,,,,,,,,603.0,Kota Banjar
