nama_kabupaten_kota,kab/kota,tahun,keterangan,total
KABUPATEN CIAMIS,Ciamis,2013-01-01,Balita Stunting,
KABUPATEN KUNINGAN,Kuningan,2013-01-01,Balita Stunting,
KABUPATEN CIREBON,Cirebon,2013-01-01,Balita Stunting,
KABUPATEN MAJALENGKA,Majalengka,2013-01-01,Balita Stunting,
KABUPATEN SUMEDANG,Sumedang,2013-01-01,Balita Stunting,
KABUPATEN INDRAMAYU,Indramayu,2013-01-01,Balita Stunting,
KABUPATEN SUBANG,Subang,2013-01-01,Balita Stunting,
KABUPATEN PURWAKARTA,Purwakarta,2013-01-01,Balita Stunting,
KABUPATEN KARAWANG,Karawang,2013-01-01,Balita Stunting,
KABUPATEN BEKASI,Bekasi,2013-01-01,Balita Stunting,
KABUPATEN BANDUNG BARAT,Bandung Barat,2013-01-01,Balita Stunting,
KABUPATEN PANGANDARAN,Pangandaran,2013-01-01,Balita Stunting,
KOTA BOGOR,Kota Bogor,2013-01-01,Balita Stunting,
KOTA SUKABUMI,Kota Sukabumi,2013-01-01,Balita Stunting,
KOTA BANDUNG,Kota Bandung,2013-01-01,Balita Stunting,
KOTA CIREBON,Kota Cirebon,2013-01-01,Balita Stunting,
KOTA BEKASI,Kota Bekasi,2013-01-01,Balita Stunting,
KOTA DEPOK,Kota Depok,2013-01-01,Balita Stunting,
KOTA CIMAHI,Kota Cimahi,2013-01-01,Balita Stunting,
KOTA TASIKMALAYA,Kota Tasikmalaya,2013-01-01,Balita Stunting,
KOTA BANJAR,Kota Banjar,2013-01-01,Balita Stunting,
KABUPATEN BOGOR,Bogor,2014-01-01,Balita Stunting,40314.0
KABUPATEN SUKABUMI,Sukabumi,2014-01-01,Balita Stunting,25332.0
KABUPATEN CIANJUR,Cianjur,2014-01-01,Balita Stunting,26687.0
KABUPATEN BANDUNG,Bandung,2014-01-01,Balita Stunting,46412.0
KABUPATEN GARUT,Garut,2014-01-01,Balita Stunting,14609.0
KABUPATEN TASIKMALAYA,Tasikmalaya,2014-01-01,Balita Stunting,28481.0
KABUPATEN CIAMIS,Ciamis,2014-01-01,Balita Stunting,2929.0
KABUPATEN KUNINGAN,Kuningan,2014-01-01,Balita Stunting,6551.0
KABUPATEN CIREBON,Cirebon,2014-01-01,Balita Stunting,22805.0
KABUPATEN MAJALENGKA,Majalengka,2014-01-01,Balita Stunting,9396.0
KABUPATEN SUMEDANG,Sumedang,2014-01-01,Balita Stunting,0.0
KABUPATEN INDRAMAYU,Indramayu,2014-01-01,Balita Stunting,0.0
KABUPATEN SUBANG,Subang,2014-01-01,Balita Stunting,4152.0
KABUPATEN PURWAKARTA,Purwakarta,2014-01-01,Balita Stunting,6091.0
KABUPATEN KARAWANG,Karawang,2014-01-01,Balita Stunting,23912.0
KABUPATEN BEKASI,Bekasi,2014-01-01,Balita Stunting,23473.0
KABUPATEN BANDUNG BARAT,Bandung Barat,2014-01-01,Balita Stunting,20233.0
KABUPATEN PANGANDARAN,Pangandaran,2014-01-01,Balita Stunting,6055.0
KOTA BOGOR,Kota Bogor,2014-01-01,Balita Stunting,2601.0
KOTA SUKABUMI,Kota Sukabumi,2014-01-01,Balita Stunting,11761.0
KOTA BANDUNG,Kota Bandung,2014-01-01,Balita Stunting,2466.0
KOTA CIREBON,Kota Cirebon,2014-01-01,Balita Stunting,22993.0
KOTA BEKASI,Kota Bekasi,2014-01-01,Balita Stunting,10106.0
